1 Q0 34852269115580416	1 0.9518675 myRun
5 Q0 33580620160438272	1599 0.35037225 myRun
5 Q0 34942301021147136	1600 0.35032248 myRun
5 Q0 35005832777170944	1601 0.35031298 myRun
5 Q0 31489264340434944	1602 0.35026234 myRun
5 Q0 33141643234246656	1603 0.3502525 myRun
5 Q0 30776501112668160	1604 0.35015553 myRun
5 Q0 33426214551027712	1605 0.35011694 myRun
5 Q0 34980199166640128	1606 0.35008547 myRun
5 Q0 33548868230582273	1607 0.34975836 myRun
5 Q0 29643829162283008	1608 0.34963638 myRun
5 Q0 33164018881396737	1609 0.34952557 myRun
5 Q0 33524238149226496	1610 0.34938478 myRun
5 Q0 34921334504955905	1611 0.34936112 myRun
5 Q0 31786675235459072	1612 0.34930617 myRun
5 Q0 31891876172791809	1613 0.3492729 myRun
5 Q0 32155753280176128	1614 0.34917748 myRun
5 Q0 32802056817344512	1615 0.34915948 myRun
5 Q0 34806909412319232	1616 0.34912056 myRun
5 Q0 32828287554162688	1617 0.34910947 myRun
5 Q0 33574655474274305	1618 0.34887207 myRun
5 Q0 31509248810688512	1619 0.34861124 myRun
5 Q0 32766364376637440	1620 0.34858933 myRun
5 Q0 29019676654698496	1621 0.34840125 myRun
5 Q0 33510209720680448	1622 0.34838715 myRun
5 Q0 33860929317904384	1623 0.34831738 myRun
5 Q0 29967906330640384	1624 0.34822875 myRun
5 Q0 32947243380113409	1625 0.34821004 myRun
5 Q0 33347343302529024	1626 0.34816882 myRun
5 Q0 29645153194999808	1627 0.3478675 myRun
5 Q0 34860704469090305	1628 0.3477623 myRun
5 Q0 32620768592404480	1629 0.34774354 myRun
5 Q0 29533398586359808	1630 0.34767705 myRun
5 Q0 34990147359477761	1631 0.34761447 myRun
5 Q0 34737409480458240	1632 0.34760803 myRun
5 Q0 30654144549228544	1633 0.34739947 myRun
5 Q0 34831223209590784	1634 0.3473605 myRun
5 Q0 34852056066048000	1635 0.34727126 myRun
5 Q0 29706562884870145	1636 0.34702677 myRun
5 Q0 32589801425211392	1637 0.34697554 myRun
5 Q0 30149947860983808	1638 0.34688997 myRun
5 Q0 30421368482832384	1639 0.3468154 myRun
5 Q0 31793298611904512	1640 0.34674537 myRun
5 Q0 34192568942071808	1641 0.34670132 myRun
5 Q0 29947810354831364	1642 0.34666273 myRun
5 Q0 30047411980210176	1643 0.3466449 myRun
5 Q0 31457619868651521	1644 0.34662938 myRun
5 Q0 32896693800275968	1645 0.34662938 myRun
5 Q0 32838286753927168	1646 0.34662098 myRun
5 Q0 32821277676802048	1647 0.34659904 myRun
5 Q0 31726140703903744	1648 0.346573 myRun
5 Q0 33476723840393216	1649 0.34655946 myRun
5 Q0 34746124883460096	1650 0.3465103 myRun
5 Q0 34908413875982336	1651 0.34649652 myRun
5 Q0 34847179646435328	1652 0.3464959 myRun
5 Q0 31361923412922368	1653 0.34626615 myRun
5 Q0 34820044500246528	1654 0.34626615 myRun
5 Q0 31491271486865408	1655 0.34614715 myRun
5 Q0 34526343760711680	1656 0.3460645 myRun
5 Q0 29915225490726912	1657 0.34596696 myRun
5 Q0 33220637237448704	1658 0.3459049 myRun
5 Q0 31867066428424192	1659 0.34588435 myRun
5 Q0 34882307697414144	1660 0.34576428 myRun
5 Q0 29262351840575488	1661 0.34574285 myRun
5 Q0 33834180018176000	1662 0.34570014 myRun
5 Q0 34368244114522112	1663 0.34568042 myRun
5 Q0 29984724273336320	1664 0.3454811 myRun
5 Q0 32928168285310976	1665 0.34539628 myRun
5 Q0 33519716647702528	1666 0.3453731 myRun
5 Q0 32689430485536769	1667 0.34493497 myRun
5 Q0 32692060649693184	1668 0.34493282 myRun
5 Q0 35029271105765376	1669 0.34488064 myRun
5 Q0 33329614096965632	1670 0.34453726 myRun
5 Q0 32381471306031105	1671 0.34453303 myRun
5 Q0 31123601075740672	1672 0.34444255 myRun
5 Q0 34553453812387840	1673 0.34440273 myRun
5 Q0 32563914822656000	1674 0.34432885 myRun
5 Q0 32664557369434112	1675 0.34426704 myRun
5 Q0 31778796176678912	1676 0.34400597 myRun
5 Q0 33370586038149120	1677 0.34400597 myRun
5 Q0 34832109285679104	1678 0.34399515 myRun
5 Q0 33580340182253568	1679 0.3439384 myRun
5 Q0 29816175978356737	1680 0.34393722 myRun
5 Q0 33843614396325888	1681 0.3439281 myRun
5 Q0 34794669116231680	1682 0.34392798 myRun
5 Q0 32761536409763840	1683 0.34390152 myRun
5 Q0 33425021263151105	1684 0.34386137 myRun
5 Q0 34808758248935424	1685 0.34382662 myRun
5 Q0 31786519911997440	1686 0.343809 myRun
5 Q0 34894838730199040	1687 0.343809 myRun
5 Q0 32385332833943552	1688 0.34375674 myRun
5 Q0 29262474704326656	1689 0.34363425 myRun
5 Q0 33329357892091904	1690 0.3435582 myRun
5 Q0 33577310426763264	1691 0.34346408 myRun
5 Q0 34365909007077376	1692 0.343417 myRun
5 Q0 33455544656203776	1693 0.343417 myRun
5 Q0 32802201936076800	1694 0.34339777 myRun
5 Q0 32454305206239232	1695 0.3433193 myRun
5 Q0 32309982011596800	1696 0.34331328 myRun
5 Q0 33917872883372032	1697 0.34328753 myRun
5 Q0 32652838865731584	1698 0.34327978 myRun
5 Q0 33372977340878848	1699 0.3432439 myRun
5 Q0 32844971694366722	1700 0.3431547 myRun
5 Q0 34804738243428353	1701 0.34313926 myRun
5 Q0 29980135922860032	1702 0.3430944 myRun
5 Q0 32553642770825216	1703 0.34298372 myRun
5 Q0 29823924065796097	1704 0.3429126 myRun
5 Q0 32202126755102720	1705 0.3428735 myRun
5 Q0 34638009475416064	1706 0.34278888 myRun
5 Q0 29409743080529920	1707 0.34265733 myRun
5 Q0 30051282865618944	1708 0.34256455 myRun
5 Q0 34939797898272768	1709 0.34251675 myRun
5 Q0 31755163664384000	1710 0.3424183 myRun
5 Q0 34880100629487616	1711 0.34231097 myRun
5 Q0 33568820153028608	1712 0.3423066 myRun
5 Q0 32585400795009024	1713 0.34221995 myRun
5 Q0 30265364831019008	1714 0.34213746 myRun
5 Q0 34991311153008640	1715 0.34200838 myRun
5 Q0 34988697174679552	1716 0.34195513 myRun
5 Q0 35086601377816576	1717 0.34187356 myRun
5 Q0 29876182069547008	1718 0.3418246 myRun
5 Q0 31290992334217216	1719 0.34179333 myRun
5 Q0 35058742626099200	1720 0.34177154 myRun
5 Q0 32624396753436672	1721 0.34143725 myRun
5 Q0 32807076820418561	1722 0.341345 myRun
5 Q0 31443375261483008	1723 0.3412827 myRun
5 Q0 33657954544787456	1724 0.34123963 myRun
5 Q0 32670242874335232	1725 0.34120938 myRun
5 Q0 35061978267394048	1726 0.3411328 myRun
5 Q0 29839771765317632	1727 0.34102416 myRun
5 Q0 32680894552604673	1728 0.341021 myRun
5 Q0 32709563652247552	1729 0.3409999 myRun
5 Q0 34795408781737984	1730 0.34093863 myRun
5 Q0 29488474193133569	1731 0.34086695 myRun
5 Q0 33580511582494721	1732 0.34082577 myRun
5 Q0 30223535074971648	1733 0.34080416 myRun
5 Q0 32615611599163394	1734 0.34080052 myRun
5 Q0 34785287120879616	1735 0.34036487 myRun
5 Q0 29604343489495040	1736 0.34036487 myRun
5 Q0 30945244245655552	1737 0.3403459 myRun
5 Q0 31459003686977536	1738 0.34026897 myRun
5 Q0 31493648298287104	1739 0.34023356 myRun
5 Q0 30551210960363521	1740 0.34021944 myRun
5 Q0 34513858278203392	1741 0.3401425 myRun
5 Q0 32933393209491456	1742 0.33999556 myRun
5 Q0 33531962228473857	1743 0.33989334 myRun
5 Q0 35016180657823745	1744 0.3396988 myRun
5 Q0 31752061615874048	1745 0.33964738 myRun
5 Q0 34990062756167680	1746 0.33953086 myRun
5 Q0 31487783759519744	1747 0.33952016 myRun
5 Q0 32132894910582784	1748 0.33950025 myRun
5 Q0 34890508253798400	1749 0.33938432 myRun
5 Q0 29240103247282176	1750 0.33935463 myRun
5 Q0 28990530557841408	1751 0.33921757 myRun
5 Q0 31220758067814400	1752 0.33917123 myRun
5 Q0 34303174483382273	1753 0.33884326 myRun
5 Q0 34885439919894528	1754 0.33872437 myRun
5 Q0 34791221016662017	1755 0.33861932 myRun
5 Q0 34945584968372224	1756 0.33861 myRun
5 Q0 33572409852297218	1757 0.33851615 myRun
5 Q0 32833816787689473	1758 0.33850688 myRun
5 Q0 30051733413564416	1759 0.3385001 myRun
5 Q0 34415176887447552	1760 0.33841175 myRun
5 Q0 34644737679958016	1761 0.33833465 myRun
5 Q0 32312207010177024	1762 0.33830798 myRun
5 Q0 34284800034471936	1763 0.33818603 myRun
5 Q0 32307964723331074	1764 0.3381089 myRun
5 Q0 32850883372912641	1765 0.33803117 myRun
5 Q0 32114011503853568	1766 0.33790696 myRun
5 Q0 34789736937684992	1767 0.3378805 myRun
5 Q0 29866665919385600	1768 0.33771825 myRun
5 Q0 29865806183538688	1769 0.33771825 myRun
5 Q0 34330758625628161	1770 0.33760267 myRun
5 Q0 32849766035496962	1771 0.33758447 myRun
5 Q0 33246474905059328	1772 0.33752593 myRun
5 Q0 33563355146887168	1773 0.33736193 myRun
5 Q0 34705965907451905	1774 0.3373513 myRun
5 Q0 33566515794018304	1775 0.3372291 myRun
5 Q0 35032969643175936	1776 0.33714783 myRun
5 Q0 34490540267409408	1777 0.33708912 myRun
5 Q0 34831308463022080	1778 0.33701026 myRun
5 Q0 34530871604289536	1779 0.33680063 myRun
5 Q0 33553062966595584	1780 0.33673653 myRun
5 Q0 35029103887257601	1781 0.336605 myRun
5 Q0 29204833726631936	1782 0.33647045 myRun
5 Q0 29195144070701056	1783 0.33640373 myRun
5 Q0 35026001251540992	1784 0.33638263 myRun
5 Q0 32149826720239616	1785 0.3363321 myRun
5 Q0 31637143013036032	1786 0.3362962 myRun
5 Q0 29201931830300672	1787 0.3362346 myRun
5 Q0 29969669876092928	1788 0.33619857 myRun
5 Q0 29577869088792576	1789 0.33619672 myRun
5 Q0 29688093518856192	1790 0.33605307 myRun
5 Q0 32825635449602048	1791 0.33595765 myRun
5 Q0 29154148955983872	1792 0.3359289 myRun
5 Q0 34806297626943488	1793 0.33591735 myRun
5 Q0 33475965996761088	1794 0.3356607 myRun
5 Q0 34789534390550528	1795 0.33559185 myRun
5 Q0 32262527379308545	1796 0.33559185 myRun
5 Q0 32490062973243392	1797 0.33546668 myRun
5 Q0 29068314852458497	1798 0.3354577 myRun
5 Q0 34455157622177792	1799 0.3354506 myRun
5 Q0 32740165969510401	1800 0.33536735 myRun
5 Q0 29203493239652352	1801 0.33534688 myRun
5 Q0 35023272974229504	1802 0.33534336 myRun
5 Q0 33547042248728576	1803 0.3353327 myRun
5 Q0 34882084875145216	1804 0.3353261 myRun
5 Q0 34980381321076736	1805 0.33525133 myRun
5 Q0 30074978527350784	1806 0.33524668 myRun
5 Q0 29185022707638274	1807 0.3351983 myRun
5 Q0 34925452472623104	1808 0.33512676 myRun
5 Q0 31796120921309184	1809 0.3350957 myRun
5 Q0 34165017398091776	1810 0.3350517 myRun
5 Q0 29200684804997120	1811 0.33500677 myRun
5 Q0 31336928422928384	1812 0.33489114 myRun
5 Q0 35030665523109888	1813 0.33488303 myRun
5 Q0 34968258968817664	1814 0.33486664 myRun
5 Q0 33231049525821440	1815 0.33477646 myRun
5 Q0 34398597097340928	1816 0.33475083 myRun
5 Q0 32499286851723264	1817 0.33455604 myRun
5 Q0 33541293615353856	1818 0.33447313 myRun
5 Q0 34607321665507329	1819 0.33446255 myRun
5 Q0 30344289783386112	1820 0.3344521 myRun
5 Q0 33993344493293569	1821 0.33435744 myRun
5 Q0 34845080003022848	1822 0.3343349 myRun
5 Q0 32143617128660992	1823 0.33418563 myRun
5 Q0 30730363818999808	1824 0.33411133 myRun
5 Q0 32635586586087426	1825 0.33393252 myRun
5 Q0 30227202310148096	1826 0.33385938 myRun
5 Q0 34904769789173761	1827 0.3338164 myRun
5 Q0 32771329165893633	1828 0.33369768 myRun
5 Q0 34780826906394624	1829 0.33365715 myRun
5 Q0 34637507551297536	1830 0.33364424 myRun
5 Q0 34629718879764480	1831 0.33364424 myRun
5 Q0 34704205356736514	1832 0.33360663 myRun
5 Q0 34598980834824192	1833 0.33346784 myRun
5 Q0 32279145685721088	1834 0.33345264 myRun
5 Q0 32850886778691584	1835 0.33328688 myRun
5 Q0 32046198844030976	1836 0.33326715 myRun
5 Q0 34793802963099648	1837 0.33315876 myRun
5 Q0 31465631001878528	1838 0.3331291 myRun
5 Q0 34632054121439234	1839 0.33290637 myRun
5 Q0 32448435240046592	1840 0.33286476 myRun
5 Q0 35003475473469442	1841 0.3328098 myRun
5 Q0 31504613333016576	1842 0.33280766 myRun
5 Q0 35000974909120512	1843 0.33275658 myRun
5 Q0 33658210648850432	1844 0.33265793 myRun
5 Q0 29177278038540289	1845 0.33263817 myRun
5 Q0 32687392452251648	1846 0.33259213 myRun
5 Q0 32873234219147264	1847 0.3325855 myRun
5 Q0 30646303809605632	1848 0.3325087 myRun
5 Q0 34824597501120512	1849 0.332447 myRun
5 Q0 34173324812623873	1850 0.33229935 myRun
5 Q0 34933070012354560	1851 0.33224437 myRun
5 Q0 33491570204348418	1852 0.33200568 myRun
5 Q0 31231928845733888	1853 0.33196306 myRun
5 Q0 32914605625835520	1854 0.3319134 myRun
5 Q0 32828058037649408	1855 0.33188707 myRun
5 Q0 29273075971260416	1856 0.33173794 myRun
5 Q0 29599813435662336	1857 0.3316414 myRun
5 Q0 34950021921255424	1858 0.33163232 myRun
5 Q0 32281182506844160	1859 0.331555 myRun
5 Q0 34351883074277376	1860 0.3315164 myRun
5 Q0 34475250632769536	1861 0.33146298 myRun
5 Q0 34569204321492992	1862 0.33142018 myRun
5 Q0 33507373507158016	1863 0.331374 myRun
5 Q0 34978709077233664	1864 0.33135563 myRun
5 Q0 33371929440165889	1865 0.3313347 myRun
5 Q0 32637294309543936	1866 0.33127013 myRun
5 Q0 33558124732354560	1867 0.33123037 myRun
5 Q0 29198808520851456	1868 0.3311426 myRun
5 Q0 34984824317935616	1869 0.33107072 myRun
5 Q0 31749385800916992	1870 0.3310672 myRun
5 Q0 33542757700075520	1871 0.33101302 myRun
5 Q0 30534154814750722	1872 0.3309664 myRun
5 Q0 30236784415744000	1873 0.3309295 myRun
5 Q0 34662153659092992	1874 0.33090314 myRun
5 Q0 33575900586975232	1875 0.33078527 myRun
5 Q0 31144347105759232	1876 0.3306232 myRun
5 Q0 33245029921202176	1877 0.330545 myRun
5 Q0 33760475174932480	1878 0.33042136 myRun
5 Q0 32187896484073472	1879 0.33037245 myRun
5 Q0 34698190112423938	1880 0.3303664 myRun
5 Q0 34909921539530752	1881 0.33030248 myRun
5 Q0 29891312585019392	1882 0.33027014 myRun
5 Q0 35020481119657984	1883 0.3301577 myRun
5 Q0 32198685831987200	1884 0.3300265 myRun
5 Q0 32255086369439744	1885 0.3299262 myRun
5 Q0 32814932391100416	1886 0.3298657 myRun
5 Q0 34887281231794176	1887 0.3298415 myRun
5 Q0 35070375289163776	1888 0.32981628 myRun
5 Q0 34643388082950144	1889 0.32979226 myRun
5 Q0 34707642379141120	1890 0.32974744 myRun
5 Q0 32542718483767296	1891 0.32971323 myRun
5 Q0 32844633163702273	1892 0.32971194 myRun
5 Q0 32639842919645185	1893 0.3297063 myRun
5 Q0 34707905735438336	1894 0.32966065 myRun
5 Q0 34867802699468801	1895 0.3296272 myRun
5 Q0 29607434922233856	1896 0.32959974 myRun
5 Q0 32263041005391873	1897 0.32958698 myRun
5 Q0 29585106163212288	1898 0.32952425 myRun
5 Q0 29871636945567744	1899 0.3295228 myRun
5 Q0 35071484590301184	1900 0.3295057 myRun
5 Q0 34790845806813184	1901 0.3294945 myRun
5 Q0 31187976318877696	1902 0.32943314 myRun
5 Q0 31771392403832832	1903 0.32942623 myRun
5 Q0 32791685792538625	1904 0.32894218 myRun
5 Q0 32826180549742592	1905 0.32893723 myRun
5 Q0 34923026994696192	1906 0.32889706 myRun
5 Q0 32384786970447872	1907 0.32874745 myRun
5 Q0 30511580726697984	1908 0.3287272 myRun
5 Q0 34898389988548608	1909 0.32872683 myRun
5 Q0 35001938168782848	1910 0.32868034 myRun
5 Q0 32494789572173824	1911 0.32867277 myRun
5 Q0 34982904220237824	1912 0.328493 myRun
5 Q0 35087581838319616	1913 0.32848114 myRun
5 Q0 34621343689342976	1914 0.3284705 myRun
5 Q0 32260041880903681	1915 0.32842883 myRun
5 Q0 34889484864585728	1916 0.32836738 myRun
5 Q0 34785393912057856	1917 0.32836655 myRun
5 Q0 32250043683573760	1918 0.32835042 myRun
5 Q0 32606054848139264	1919 0.32826722 myRun
5 Q0 30470121625485312	1920 0.3279029 myRun
5 Q0 29160091777245184	1921 0.32787445 myRun
5 Q0 31871304026034176	1922 0.32773826 myRun
5 Q0 30053282982404097	1923 0.32771415 myRun
5 Q0 31728747883274240	1924 0.32769376 myRun
5 Q0 34949898495328256	1925 0.32767367 myRun
5 Q0 29898414888067072	1926 0.327654 myRun
5 Q0 31447591619141632	1927 0.3274802 myRun
5 Q0 34853898250362880	1928 0.3274292 myRun
5 Q0 30501581178802176	1929 0.32742912 myRun
5 Q0 30027254436204544	1930 0.32737398 myRun
5 Q0 32457844527730689	1931 0.32733276 myRun
5 Q0 29709934362890240	1932 0.327301 myRun
5 Q0 34020986487578625	1933 0.3272754 myRun
5 Q0 35073414548951041	1934 0.32717848 myRun
5 Q0 34740152915988480	1935 0.32717392 myRun
5 Q0 29958993371729920	1936 0.32717264 myRun
5 Q0 29378627992817665	1937 0.3269491 myRun
5 Q0 31024215289237507	1938 0.32690293 myRun
5 Q0 30225867514847232	1939 0.3268748 myRun
5 Q0 33566446382489600	1940 0.3268246 myRun
5 Q0 32845549816258560	1941 0.32664907 myRun
5 Q0 32687420684107776	1942 0.32644618 myRun
5 Q0 35073865323388928	1943 0.32643527 myRun
5 Q0 32079845533949952	1944 0.32627577 myRun
5 Q0 33767690350891008	1945 0.3261869 myRun
5 Q0 32235768759975936	1946 0.32609892 myRun
5 Q0 30836206803623936	1947 0.32607692 myRun
5 Q0 30200547600502784	1948 0.32607347 myRun
5 Q0 29703453882187776	1949 0.32607347 myRun
5 Q0 34989981365706752	1950 0.3260172 myRun
5 Q0 31932204519006209	1951 0.32596013 myRun
5 Q0 33308829399650304	1952 0.3258517 myRun
5 Q0 33187813436424192	1953 0.32584125 myRun
5 Q0 34981160320765953	1954 0.32579926 myRun
5 Q0 32881999685361664	1955 0.3255858 myRun
5 Q0 34596768469491712	1956 0.3255568 myRun
5 Q0 29189420452151297	1957 0.32552052 myRun
5 Q0 31487960834646016	1958 0.325516 myRun
5 Q0 34903151513440256	1959 0.32537758 myRun
5 Q0 32777419622457344	1960 0.32534948 myRun
5 Q0 34972104591933440	1961 0.32534948 myRun
5 Q0 30783584969162752	1962 0.32528967 myRun
5 Q0 30656014466416640	1963 0.32512736 myRun
5 Q0 34946460357238784	1964 0.3250243 myRun
5 Q0 32610941329735680	1965 0.32494232 myRun
5 Q0 31095833868894209	1966 0.3249266 myRun
5 Q0 33316986624675841	1967 0.32491958 myRun
5 Q0 34606391796695040	1968 0.32491 myRun
5 Q0 30345980167585794	1969 0.32483482 myRun
5 Q0 34798593390940160	1970 0.3248172 myRun
5 Q0 32647808896999425	1971 0.32474288 myRun
5 Q0 32844932045606912	1972 0.32468274 myRun
5 Q0 34886442282909696	1973 0.32462257 myRun
5 Q0 31718652143206400	1974 0.3245324 myRun
5 Q0 32407967601008640	1975 0.32445216 myRun
5 Q0 33512828782514176	1976 0.32440805 myRun
5 Q0 33580798070231040	1977 0.32427025 myRun
5 Q0 32224450204139521	1978 0.324116 myRun
5 Q0 29966821335502848	1979 0.3240774 myRun
5 Q0 34798638530035712	1980 0.3240518 myRun
5 Q0 34623024279982080	1981 0.32397234 myRun
5 Q0 31911102874910720	1982 0.32394987 myRun
5 Q0 32204788955357184	1983 0.32388654 myRun
5 Q0 29193708666626049	1984 0.32387426 myRun
5 Q0 33312639383773184	1985 0.32384115 myRun
5 Q0 34200960569974784	1986 0.3237973 myRun
5 Q0 34803546927017984	1987 0.32379624 myRun
5 Q0 34808895813713920	1988 0.32378626 myRun
5 Q0 33431545700163584	1989 0.32373634 myRun
5 Q0 35044482072182784	1990 0.3236592 myRun
5 Q0 35002890888155136	1991 0.32355687 myRun
5 Q0 34707878099161088	1992 0.32352364 myRun
5 Q0 31921393528475648	1993 0.32333356 myRun
5 Q0 30660966882484224	1994 0.32326484 myRun
5 Q0 33566461981097984	1995 0.32316288 myRun
5 Q0 32819853240832001	1996 0.32298383 myRun
5 Q0 35003668671504384	1997 0.32295805 myRun
5 Q0 34916765083377664	1998 0.32291907 myRun
5 Q0 33013879487340544	1999 0.32291585 myRun
5 Q0 33382943284006912	2000 0.32284224 myRun
5 Q0 34389878783348736	2001 0.3227331 myRun
5 Q0 34384798248083458	2002 0.3227331 myRun
5 Q0 33580027731771392	2003 0.32264486 myRun
5 Q0 34288751219843072	2004 0.3226215 myRun
5 Q0 34469372634341376	2005 0.32241327 myRun
5 Q0 33517605058772993	2006 0.32239696 myRun
5 Q0 35005295394693120	2007 0.32235366 myRun
5 Q0 34551264511528960	2008 0.32229674 myRun
5 Q0 32796102214295552	2009 0.32229656 myRun
5 Q0 35068812063674368	2010 0.32229558 myRun
5 Q0 34826726915706880	2011 0.32224762 myRun
5 Q0 32846724598865920	2012 0.3222222 myRun
5 Q0 29890908426076160	2013 0.32221776 myRun
5 Q0 35088534306033665	2014 0.32220522 myRun
5 Q0 35074168441544705	2015 0.32212406 myRun
5 Q0 34736638353477632	2016 0.32205567 myRun
5 Q0 34695954263318528	2017 0.32190862 myRun
5 Q0 29230138696663040	2018 0.32180756 myRun
5 Q0 29645042612174848	2019 0.32168597 myRun
5 Q0 34577306567581697	2020 0.32165235 myRun
5 Q0 31762305326784512	2021 0.32164773 myRun
5 Q0 34770793162342400	2022 0.32149914 myRun
5 Q0 32703075147845632	2023 0.3214817 myRun
5 Q0 34781995296886784	2024 0.32141763 myRun
5 Q0 29396806081183744	2025 0.32141763 myRun
5 Q0 31696334083854336	2026 0.32134914 myRun
5 Q0 34910737528930304	2027 0.32088137 myRun
5 Q0 33391626298597376	2028 0.3208577 myRun
5 Q0 34012459119411200	2029 0.32084227 myRun
5 Q0 33504817619931136	2030 0.32077563 myRun
5 Q0 29899305078759424	2031 0.32076257 myRun
5 Q0 31877430675247105	2032 0.32054144 myRun
5 Q0 31230245910618112	2033 0.32051748 myRun
5 Q0 33498683123175424	2034 0.32047185 myRun
5 Q0 32677746245107713	2035 0.32043648 myRun
5 Q0 32384227123134464	2036 0.3202888 myRun
5 Q0 31381107819679744	2037 0.32028127 myRun
5 Q0 33491828703498240	2038 0.3202783 myRun
5 Q0 34832357466841088	2039 0.32027137 myRun
5 Q0 29579331948777472	2040 0.32019603 myRun
5 Q0 32812994916257792	2041 0.32009202 myRun
5 Q0 33161950921756672	2042 0.32005 myRun
5 Q0 30018052766572544	2043 0.31995583 myRun
5 Q0 30023650337886208	2044 0.31955868 myRun
5 Q0 35013267256508416	2045 0.31950593 myRun
5 Q0 30716080439693313	2046 0.31950372 myRun
5 Q0 29498314659471361	2047 0.31943446 myRun
5 Q0 33607538444341248	2048 0.31937242 myRun
5 Q0 33788487845027840	2049 0.31936097 myRun
5 Q0 32378706596986880	2050 0.31927827 myRun
5 Q0 32737588209000448	2051 0.31925863 myRun
5 Q0 32695598012432384	2052 0.3192514 myRun
5 Q0 32679511464087553	2053 0.3192514 myRun
5 Q0 32630207852584961	2054 0.3192514 myRun
5 Q0 32581675292561408	2055 0.3192514 myRun
5 Q0 32562196298858496	2056 0.3192514 myRun
5 Q0 29296574815272960	2057 0.31924653 myRun
5 Q0 29971351578091520	2058 0.31917804 myRun
5 Q0 33553949231558656	2059 0.31913304 myRun
5 Q0 33493499877793792	2060 0.3189041 myRun
5 Q0 31835766946529282	2061 0.31885934 myRun
5 Q0 32846346322972672	2062 0.3187378 myRun
5 Q0 33151304213729280	2063 0.31872708 myRun
5 Q0 31298489577111552	2064 0.31854916 myRun
5 Q0 34935971652829184	2065 0.31850517 myRun
5 Q0 34940271523274752	2066 0.31825703 myRun
5 Q0 34892953281363968	2067 0.31825334 myRun
5 Q0 34989937812054017	2068 0.31822392 myRun
5 Q0 32075221011800066	2069 0.31817138 myRun
5 Q0 29032839450202112	2070 0.3180777 myRun
5 Q0 35046327679320064	2071 0.31783992 myRun
5 Q0 33486706900467712	2072 0.31780538 myRun
5 Q0 30700726397177856	2073 0.3177755 myRun
5 Q0 31069786351861760	2074 0.31759608 myRun
5 Q0 35064807208140800	2075 0.31748277 myRun
5 Q0 34744127048388608	2076 0.3174765 myRun
5 Q0 32061324829659136	2077 0.3174624 myRun
5 Q0 32262156783194112	2078 0.31734595 myRun
5 Q0 33224790349193216	2079 0.31732583 myRun
5 Q0 35085677729157121	2080 0.3172856 myRun
5 Q0 33257716868714496	2081 0.3172475 myRun
5 Q0 34659954661007360	2082 0.31716365 myRun
5 Q0 33548855324852224	2083 0.31715062 myRun
5 Q0 29854060932763649	2084 0.31704074 myRun
5 Q0 31471322185867264	2085 0.31698012 myRun
5 Q0 29763289642696704	2086 0.31697607 myRun
5 Q0 33558587208892416	2087 0.31684327 myRun
5 Q0 34726904653283328	2088 0.31678575 myRun
5 Q0 29202410626883584	2089 0.31671417 myRun
5 Q0 32681499060867072	2090 0.3167017 myRun
5 Q0 34871069911416832	2091 0.31660813 myRun
5 Q0 31156936774787072	2092 0.3165496 myRun
5 Q0 32411640678842368	2093 0.31654516 myRun
5 Q0 33328915611123712	2094 0.31649673 myRun
5 Q0 29670747886583808	2095 0.31644914 myRun
5 Q0 35016328699973632	2096 0.31620556 myRun
5 Q0 35041029694431232	2097 0.31591475 myRun
5 Q0 34713648542777344	2098 0.31586868 myRun
5 Q0 32358778158452736	2099 0.31568223 myRun
5 Q0 34896060421767168	2100 0.3156783 myRun
5 Q0 32056910660239360	2101 0.31558296 myRun
5 Q0 31552837594906624	2102 0.31557184 myRun
5 Q0 31490730371317760	2103 0.31545565 myRun
5 Q0 32353183208579072	2104 0.31535035 myRun
5 Q0 32812333801676800	2105 0.31529522 myRun
5 Q0 30419390310645761	2106 0.31529456 myRun
5 Q0 29694260408225792	2107 0.3152635 myRun
5 Q0 30484140813975552	2108 0.3152141 myRun
5 Q0 33219131343900672	2109 0.31520227 myRun
5 Q0 34866249125076992	2110 0.31506014 myRun
5 Q0 33581193475661824	2111 0.31495553 myRun
5 Q0 33562929370501121	2112 0.31492305 myRun
5 Q0 34985707499950080	2113 0.31491613 myRun
5 Q0 32363660424781824	2114 0.31488827 myRun
5 Q0 34999532945289216	2115 0.31485116 myRun
5 Q0 34940492118499328	2116 0.31478667 myRun
5 Q0 29357242729897984	2117 0.31472257 myRun
5 Q0 35047026336993280	2118 0.3146857 myRun
5 Q0 32602179655176194	2119 0.31465566 myRun
5 Q0 35073856091865088	2120 0.31462568 myRun
5 Q0 33339629960695810	2121 0.31457376 myRun
5 Q0 31561204052791296	2122 0.3144952 myRun
5 Q0 29093916263321600	2123 0.31442356 myRun
5 Q0 32790218096513024	2124 0.31439963 myRun
5 Q0 29276075657789440	2125 0.31434193 myRun
5 Q0 35086714158452737	2126 0.3142116 myRun
5 Q0 34990336916848640	2127 0.31409267 myRun
5 Q0 34931954654646273	2128 0.31408995 myRun
5 Q0 32197783146467329	2129 0.31376263 myRun
5 Q0 29542898181607424	2130 0.31357586 myRun
5 Q0 34896269163896832	2131 0.31355408 myRun
5 Q0 35087622174937089	2132 0.31337994 myRun
5 Q0 32799105763770369	2133 0.31327075 myRun
5 Q0 34827648219885568	2134 0.31327072 myRun
5 Q0 34990555075321856	2135 0.31325778 myRun
5 Q0 33688020792115201	2136 0.31322843 myRun
